iter	RMSE
151	10.67751089
152	10.66708842
153	10.63835571
154	10.62301289
155	10.61412211
156	10.59518009
157	10.58044792
158	10.56116537
159	10.54985392
160	10.52908269
161	10.50326885
162	10.47980304
163	10.47429754
164	10.45805398
165	10.43485765
166	10.40975666
167	10.38693815
168	10.36020386
169	10.3370653
170	10.3182527
171	10.28628924
172	10.25847446
173	10.23288262
174	10.20884531
175	10.17768026
176	10.16382369
177	10.14898235
178	10.11406595
179	10.07898049
180	10.0610195
181	10.03791648
182	10.01542979
183	9.981187965
184	9.955808212
185	9.937635968
186	9.917978462
187	9.888233912
188	9.869669551
189	9.847888463
190	9.821149439
191	9.795160841
192	9.774174643
193	9.746916426
194	9.728056701
195	9.709646186
196	9.696827156
197	9.66479266
198	9.639088217
199	9.625498572
200	9.601218156
201	9.573915072
202	9.55910941
203	9.536283878
204	9.503577162
205	9.477647423
206	9.452851775
207	9.42793203
208	9.398148518
209	9.37240662
210	9.350045449
211	9.342783816
212	9.328859593
213	9.29616547
214	9.263604803
215	9.232905864
216	9.209641003
217	9.186885636
218	9.164371758
219	9.14529631
220	9.116930442
221	9.105675899
222	9.09952923
223	9.071983986
224	9.055741117
225	9.036988577
226	9.014739553
227	9.008703454
228	8.99323777
229	8.974230262
230	8.951133478
231	8.9406012
232	8.91563322
233	8.893913874
234	8.873190861
235	8.846820962
236	8.818634196
237	8.812044099
238	8.788010285
239	8.765242338
240	8.732397368
241	8.706746047
242	8.680721887
243	8.65692536
244	8.636703318
245	8.607422691
246	8.579848334
247	8.554577407
248	8.535674466
249	8.52990676
250	8.496864725
251	8.474645104
252	8.452439878
253	8.434209892
254	8.41756129
255	8.393865371
256	8.388209221
257	8.375701675
258	8.349514163
259	8.344658323
260	8.329632588
261	8.311687839
262	8.280210019
263	8.267241941
264	8.250966211
265	8.236035929
266	8.216893835
267	8.190004977
268	8.175916236
269	8.166973638
270	8.143658641
271	8.125459621
272	8.110667431
273	8.083015919
274	8.061935983
275	8.046029454
276	8.031771435
277	8.020476336
278	7.99921531
279	7.988390252
280	7.969888513
281	7.953075458
282	7.931224539
283	7.911461821
284	7.902776336
285	7.877654768
286	7.862548695
287	7.846779499
288	7.842306451
289	7.838667052
290	7.82918151
291	7.802586793
292	7.792330819
293	7.768843356
294	7.743277365
295	7.726979502
296	7.715229715
297	7.710539006
298	7.707371935
299	7.688013822
300	7.674088971
301	7.652203076
302	7.631645009
303	7.60850712
304	7.586676809
305	7.582599537
306	7.56697124
307	7.548845107
308	7.531049814
309	7.510329788
310	7.491230448
311	7.475890656
312	7.447755665
313	7.429200583
314	7.424826876
315	7.413790616
316	7.393761007
317	7.377212898
318	7.36658353
319	7.347291932
320	7.325342017
321	7.315075049
322	7.302741178
323	7.287363206
324	7.270162999
325	7.253126223
326	7.237079109
327	7.217018167
328	7.21313979
329	7.19451555
330	7.180204089
331	7.173024922
332	7.156664091
333	7.13792867
334	7.134697445
335	7.121746215
336	7.101487589
337	7.083590524
338	7.070721658
339	7.045931922
340	7.032413161
341	7.013996103
342	6.99965388
343	6.985733001
344	6.968197322
345	6.949235234
346	6.931877196
347	6.913019679
348	6.895951592
349	6.876460466
350	6.863547046
351	6.857778877
352	6.839022879
353	6.822897731
354	6.810675
355	6.796599332
356	6.776894923
357	6.756255566
358	6.742335556
359	6.722746788
360	6.701421512
361	6.687265509
362	6.671200961
363	6.658063723
364	6.644113696
365	6.630356367
366	6.613454262
367	6.609605726
368	6.592447855
369	6.578970982
370	6.569123125
371	6.549002834
372	6.54300362
373	6.531428436
374	6.524665524
375	6.505369639
376	6.494471156
377	6.487921675
378	6.47357474
379	6.456061514
380	6.443020931
381	6.431015601
382	6.411900227
383	6.399834752
384	6.382910093
385	6.370453867
386	6.353661252
387	6.342468662
388	6.327823393
389	6.321994089
390	6.309423318
391	6.298206444
392	6.288040789
393	6.284665288
394	6.266057054
395	6.256884783
396	6.248466902
397	6.234463295
398	6.218590419
399	6.209863837
400	6.197651705
401	6.19459009
402	6.188092227
403	6.166238351
404	6.162796354
405	6.154788488
406	6.140415196
407	6.133169185
408	6.116332155
409	6.105292507
410	6.09061383
411	6.077549416
412	6.070913634
413	6.066471733
414	6.058356593
415	6.04464829
416	6.042255214
417	6.033530791
418	6.023848544
419	6.021064226
420	6.008332469
421	5.99109637
422	5.977636624
423	5.966116854
424	5.963561026
425	5.95905522
426	5.949850676
427	5.932472469
428	5.923907729
429	5.907826548
430	5.895704758
431	5.886416045
432	5.885243202
433	5.882302275
434	5.866555495
435	5.854994743
436	5.833027964
437	5.827831702
438	5.813706763
439	5.800527813
440	5.790220971
441	5.776617432
442	5.766590577
443	5.764767664
444	5.753674565
445	5.745961018
446	5.733674177
447	5.718825656
448	5.705967677
449	5.697550162
450	5.688427683
451	5.675327995
452	5.670428459
453	5.656915598
454	5.640439915
455	5.626337564
456	5.611261412
457	5.603812122
458	5.595856795
459	5.584504743
460	5.56926424
461	5.553109772
462	5.535281589
463	5.520338591
464	5.514324013
465	5.502455859
466	5.489001088
467	5.486795534
468	5.473404468
469	5.456215871
470	5.446304558
471	5.435828901
472	5.430946739
473	5.417299507
474	5.40603928
475	5.395838066
476	5.377297252
477	5.36964148
478	5.354064855
479	5.337890013
480	5.333600073
481	5.32579725
482	5.312632886
483	5.304949765
484	5.293630986
485	5.28324765
486	5.281410594
487	5.274629268
488	5.26299163
489	5.250911812
490	5.235990803
491	5.226610024
492	5.215663485
493	5.206317172
494	5.195400487
495	5.185484882
496	5.18067723
497	5.172989353
498	5.170564659
499	5.158078066
500	5.156341793
501	5.1456229
502	5.135829128
503	5.125690402
504	5.112713945
505	5.104002205
506	5.088752298
507	5.077801811
508	5.068026789
509	5.058646056
510	5.048800784
511	5.039503956
512	5.033242843
513	5.032295717
514	5.029442869
515	5.021006571
516	5.010466135
517	5.000085146
518	4.986634458
519	4.98008517
520	4.967179645
521	4.960694973
522	4.948922182
523	4.947461708
524	4.945495564
525	4.938864456
526	4.926803995
527	4.91858304
528	4.908704197
529	4.899324203
530	4.886397525
531	4.874709116
532	4.865854203
533	4.864247771
534	4.856463819
535	4.845336144
536	4.844458401
537	4.832606346
538	4.822367022
539	4.812360577
540	4.800131967
541	4.791981368
542	4.779204504
543	4.770663951
544	4.760996945
545	4.754659723
546	4.742358862
547	4.736573925
548	4.728849351
549	4.72479381
550	4.715550754
551	4.708549598
552	4.702405133
553	4.694554348
554	4.688399877
555	4.678413401
556	4.667598317
557	4.66583567
558	4.657503774
559	4.64763106
560	4.635268851
561	4.629906833
562	4.619140498
563	4.609944246
564	4.594244615
565	4.584363654
566	4.573468703
567	4.56328644
568	4.552760201
569	4.544696739
570	4.534737866
571	4.526874554
572	4.519284532
573	4.507760415
574	4.493746538
575	4.48538854
576	4.478156796
577	4.471074644
578	4.462445718
579	4.453812462
580	4.446361995
581	4.439466057
582	4.432007971
583	4.421668551
584	4.412400496
585	4.40238917
586	4.396342492
587	4.385482534
588	4.378524523
589	4.368369721
590	4.358289982
591	4.351757659
592	4.350304591
593	4.341673548
594	4.332996449
595	4.322446265
596	4.315312252
597	4.311483247
598	4.305821131
599	4.29846276
600	4.289345327
601	4.287710281
602	4.276940643
603	4.275413977
604	4.267279198
605	4.256747403
606	4.243683606
607	4.233454292
608	4.223335549
609	4.217014751
610	4.215579673
611	4.211317291
612	4.208570777
613	4.202018259
614	4.192242212
615	4.180995509
616	4.172186913
617	4.164929216
618	4.160301167
619	4.153423997
620	4.146008793
621	4.132565109
622	4.12562594
623	4.114217456
624	4.108922051
625	4.107362802
626	4.100269245
627	4.090976573
628	4.089546744
629	4.088274007
630	4.081715283
631	4.071393912
632	4.059059382
633	4.053611997
634	4.041224854
635	4.032292493
636	4.021716238
637	4.015468808
638	4.00817698
639	4.00013249
640	3.993639297
641	3.986760073
642	3.978849318
643	3.971821749
644	3.971189181
645	3.964371129
646	3.95535047
647	3.948163599
648	3.937687836
649	3.931712371
650	3.918616024
651	3.909174714
652	3.897807177
653	3.896223903
654	3.889524371
655	3.883479837
656	3.87776123
657	3.868957906
658	3.860601172
659	3.853852136
660	3.849526912
661	3.840720599
662	3.837673367
663	3.831474368
664	3.82157707
665	3.815812896
666	3.808125597
667	3.798438784
668	3.791314674
669	3.784355294
670	3.77624363
671	3.768067488
672	3.761127977
673	3.752536399
674	3.745568625
675	3.739522438
676	3.730787072
677	3.725013053
678	3.717219377
679	3.710425612
680	3.701372492
681	3.696509461
682	3.689082844
683	3.68223519
684	3.672607645
685	3.666311029
686	3.655692014
687	3.652657097
688	3.644335517
689	3.63964565
690	3.633485066
691	3.624024294
692	3.615100537
693	3.606537045
694	3.602600041
695	3.591453257
696	3.585077559
697	3.574165009
698	3.568429178
699	3.558420556
700	3.553332087
701	3.55030607
702	3.549783597
703	3.548027177
704	3.540184916
705	3.536931285
706	3.528852569
707	3.525711027
708	3.522244292
709	3.512017142
710	3.504970661
711	3.500361212
712	3.496038848
713	3.489600169
714	3.48559978
715	3.479759465
716	3.47909404
717	3.471479442
718	3.464621926
719	3.457655327
720	3.445784801
721	3.436468214
722	3.42853512
723	3.425251251
724	3.418820289
725	3.413286439
726	3.408087854
727	3.403460099
728	3.399068126
729	3.393544235
730	3.384277145
731	3.379820602
732	3.37414348
733	3.369460792
734	3.363865538
735	3.357663233
736	3.348852336
737	3.344467509
738	3.340749972
739	3.333365518
740	3.32915992
741	3.324458474
742	3.323926566
743	3.314678085
744	3.308434013
745	3.307153941
746	3.29898657
747	3.29094986
748	3.286688716
749	3.284975883
750	3.281768453
751	3.279121108
752	3.273340885
753	3.26787294
754	3.26704768
755	3.262227945
756	3.254200258
757	3.2483845
758	3.240957741
759	3.233882969
760	3.226933354
761	3.226430391
762	3.220414155
763	3.213613046
764	3.206055169
765	3.198888728
766	3.191618024
767	3.187761909
768	3.186586308
769	3.178560799
770	3.171616193
771	3.16559023
772	3.15907414
773	3.158207585
774	3.152642004
775	3.152128367
776	3.14696363
777	3.146489213
778	3.141438852
779	3.134214934
780	3.125834065
781	3.118243148
782	3.110970643
783	3.103681694
784	3.099338431
785	3.094609889
786	3.089249749
787	3.082065502
788	3.07918565
789	3.072193323
790	3.065596142
791	3.064465809
792	3.058358276
793	3.053992483
794	3.045865934
795	3.038830576
796	3.033109183
797	3.030909657
798	3.027535293
799	3.019032422
800	3.017618782
801	3.013368442
802	3.00825241
803	3.003243211
804	2.997532453
805	2.993844726
806	2.987986697
807	2.982664658
808	2.973043556
809	2.968510542
810	2.964016796
811	2.958473567
812	2.95573976
813	2.948394461
814	2.945313572
815	2.940240622
816	2.939616271
817	2.937249203
818	2.933192175
819	2.929516549
820	2.92359758
821	2.919142439
822	2.916549888
823	2.915871379
824	2.910058329
825	2.906358306
826	2.905766096
827	2.901033881
828	2.895695992
829	2.890290699
830	2.883994542
831	2.883555727
832	2.878063389
833	2.873684712
834	2.873096092
835	2.867992581
836	2.859643973
837	2.856080839
838	2.848628336
839	2.842633346
840	2.838832621
841	2.834484432
842	2.829720683
843	2.823914951
844	2.818525169
845	2.814645978
846	2.811774889
847	2.803949348
848	2.799252353
849	2.795299616
850	2.791875505
851	2.78807316
852	2.782343269
853	2.773640585
854	2.771152639
855	2.766543765
856	2.763667369
857	2.762496913
858	2.760350642
859	2.758270666
860	2.75274683
861	2.749762527
862	2.742900558
863	2.741628702
864	2.738932977
865	2.732638489
866	2.72847588
867	2.725614804
868	2.724378688
869	2.720296954
870	2.717375461
871	2.713252675
872	2.712481958
873	2.708868915
874	2.704838808
875	2.700938889
876	2.699096378
877	2.693264888
878	2.691551016
879	2.687743732
880	2.683771832
881	2.680905695
882	2.676813011
883	2.671248374
884	2.662855993
885	2.657884346
886	2.656299719
887	2.653568548
888	2.647529464
889	2.640882252
890	2.637381131
891	2.632888618
892	2.632291187
893	2.631741805
894	2.629613768
895	2.626217028
896	2.622396316
897	2.618282544
898	2.610081809
899	2.605322852
900	2.600913254
901	2.596920593
902	2.592533259
903	2.588520998
904	2.582052524
905	2.581355039
906	2.579811203
907	2.574499904
908	2.570839386
909	2.567876925
910	2.566031453
911	2.561584703
912	2.556503679
913	2.550998532
914	2.547631876
915	2.542509928
916	2.539490917
917	2.5356269
918	2.53471041
919	2.53163672
920	2.531263655
921	2.526044917
922	2.521524616
923	2.513121647
924	2.507717468
925	2.502013924
926	2.497306513
927	2.497011608
928	2.491598408
929	2.489107907
930	2.48681597
931	2.486198709
932	2.482145819
933	2.480226651
934	2.479934534
935	2.479388041
936	2.474446961
937	2.470875376
938	2.465694981
939	2.460503402
940	2.458346965
941	2.452847268
942	2.448051108
943	2.445726767
944	2.445216018
945	2.44311893
946	2.4427627
947	2.438648868
948	2.438353358
949	2.435727663
950	2.432443428
951	2.426546581
952	2.423011344
953	2.417567263
954	2.417273692
955	2.41293728
956	2.412451297
957	2.408698784
958	2.403511498
959	2.40004432
960	2.399770751
961	2.395562627
962	2.390886572
963	2.385037735
964	2.384320975
965	2.380690129
966	2.377231389
967	2.376390887
968	2.372937658
969	2.372668547
970	2.372364081
971	2.368439159
972	2.365117948
973	2.359895031
974	2.353412153
975	2.348277336
976	2.346109861
977	2.34181252
978	2.337417915
979	2.332947574
980	2.327967899
981	2.324686088
982	2.319447193
983	2.316508181
984	2.314853892
985	2.312532457
986	2.3062673
987	2.304002943
988	2.301207339
989	2.298203223
990	2.293899811
991	2.290848621
992	2.286859442
993	2.284879611
994	2.282063431
995	2.279167978
996	2.276573158
997	2.274507615
998	2.273356392
999	2.273009329
