iter	Passed	Remaining
407	4514	6551
408	4525	6539
409	4535	6527
410	4549	6519
411	4560	6508
412	4572	6498
413	4583	6488
414	4595	6478
415	4607	6468
416	4618	6457
417	4628	6444
418	4639	6433
419	4649	6421
420	4659	6408
421	4669	6395
422	4680	6383
423	4689	6371
424	4699	6358
425	4709	6345
426	4720	6334
427	4731	6323
428	4741	6310
429	4751	6299
430	4761	6286
431	4773	6275
432	4783	6263
433	4794	6253
434	4804	6240
435	4815	6229
436	4825	6217
437	4836	6205
438	4847	6194
439	4859	6185
440	4873	6177
441	4885	6167
442	4896	6156
443	4908	6146
444	4927	6144
445	4940	6137
446	4952	6127
447	4964	6116
448	4976	6107
449	4987	6096
450	5000	6087
451	5011	6075
452	5021	6063
453	5031	6051
454	5042	6039
455	5052	6028
456	5064	6017
457	5075	6005
458	5086	5995
459	5097	5984
460	5108	5972
461	5120	5962
462	5132	5952
463	5142	5939
464	5153	5929
465	5164	5918
466	5175	5907
467	5185	5894
468	5196	5883
469	5208	5873
470	5220	5863
471	5229	5850
472	5241	5839
473	5252	5828
474	5263	5817
475	5276	5808
476	5289	5799
477	5300	5787
478	5314	5780
479	5325	5769
480	5336	5757
481	5346	5745
482	5356	5733
483	5368	5723
484	5378	5711
485	5388	5699
486	5399	5687
487	5410	5677
488	5420	5664
489	5431	5652
490	5442	5641
491	5452	5629
492	5462	5617
493	5474	5607
494	5485	5596
495	5496	5585
496	5507	5574
497	5518	5563
498	5530	5552
499	5541	5541
500	5552	5530
501	5562	5518
502	5574	5507
503	5585	5496
504	5594	5484
505	5607	5474
506	5618	5463
507	5629	5452
508	5640	5441
509	5650	5428
510	5660	5416
511	5670	5404
512	5680	5392
513	5690	5380
514	5701	5369
515	5711	5357
516	5723	5347
517	5733	5335
518	5744	5323
519	5753	5311
520	5765	5300
521	5775	5288
522	5785	5276
523	5795	5264
524	5804	5251
525	5816	5241
526	5826	5229
527	5836	5217
528	5847	5206
529	5858	5195
530	5868	5183
531	5880	5172
532	5916	5184
533	5934	5179
534	5946	5168
535	5957	5156
536	5967	5144
537	5977	5132
538	5987	5121
539	5997	5109
540	6008	5097
541	6019	5086
542	6031	5075
543	6041	5064
544	6053	5053
545	6062	5041
546	6072	5029
547	6083	5017
548	6093	5006
549	6104	4994
550	6114	4982
551	6126	4971
552	6135	4959
553	6146	4947
554	6156	4936
555	6168	4925
556	6179	4914
557	6190	4903
558	6201	4892
559	6212	4881
560	6223	4870
561	6235	4859
562	6246	4848
563	6257	4837
564	6268	4825
565	6280	4815
566	6290	4804
567	6302	4793
568	6313	4782
569	6325	4771
570	6336	4760
571	6347	4749
572	6359	4739
573	6370	4728
574	6381	4716
575	6390	4703
576	6401	4692
577	6411	4680
578	6421	4668
579	6431	4657
580	6441	4645
581	6450	4632
582	6460	4621
583	6470	4609
584	6481	4597
585	6490	4585
586	6502	4574
587	6512	4562
588	6521	4550
589	6530	4538
590	6541	4526
591	6550	4514
592	6560	4502
593	6569	4490
594	6580	4479
595	6590	4467
596	6600	4455
597	6609	4443
598	6618	4431
599	6628	4419
600	6639	4408
601	6649	4396
602	6659	4384
603	6668	4371
604	6677	4359
605	6688	4348
606	6697	4336
607	6707	4324
608	6718	4313
609	6727	4301
610	6738	4289
611	6748	4278
612	6759	4267
613	6768	4255
614	6779	4244
615	6790	4232
616	6801	4222
617	6811	4210
618	6821	4198
619	6831	4186
620	6842	4175
621	6852	4164
622	6862	4152
623	6872	4141
624	6885	4131
625	6895	4119
626	6906	4108
627	6917	4097
628	6928	4086
629	6938	4074
630	6951	4064
631	6962	4053
632	6975	4044
633	6985	4032
634	6998	4022
635	7011	4012
636	7024	4002
637	7035	3991
638	7047	3981
639	7057	3969
640	7067	3958
641	7078	3947
642	7089	3936
643	7099	3924
644	7109	3913
