	count	mean	median	std	min	max
healthy	1662	2.458255553923331e-17	0.0312551198992985	2.3687816166216793	-21.809448921605394	19.711491490548624
non_healthy	3688	-3.960092033157142	-4.424958689274807	11.456861223087614	-40.70473905662699	32.28730878022064
