age_range	adjust_value
(18, 20)	3.9989397714054014
(20, 25)	3.5142842147248645
(25, 30)	2.5126825611663084
(30, 35)	1.9645427264235638
(35, 40)	1.4364772014856124
(45, 50)	-0.31942100921512817
(50, 55)	-1.0724454176937015
(55, 60)	-1.6081409536038282
(60, 65)	-2.6897848029370914
(65, 70)	-3.2304104308659642
(70, 75)	-3.8580931272328973
(75, 100)	-4.994136456311074
