	count	mean	median	std	min	max
healthy	1082	6.856807173805553e-17	-0.03850254440818895	1.1049946948893397	-4.471477385180416	4.375644368617085
non_healthy	4717	-6.716772849253236	-6.958366531134538	12.518206655884542	-46.19460344988528	38.9673748297005
