dataset	method	best_threshold	balanced_accuracy_mean	balanced_accuracy_std	auc_mean	auc_std	sensitivity_mean	sensitivity_std	specificity_mean	specificity_std	mean_logistic_coef	mean_logistic_intercept	implied_corrected_gai_cutoff
result_AGP_gai	logistic_prob_threshold	0.705	0.7449222000708617	0.005903558181184836	0.6347767799649591	0.01616593777178632	0.5241365235904734	0.01827038363648358	0.96570787655125	0.008114874747357798	-0.044250594164874646	0.7108935273520023	-3.6232037590969264
result_AGP_gai	direct_gai_threshold	-3.4787946598346977	0.7445503398579263	0.006353092433534837	0.6347767799649591	0.01616593777178632	0.528203035083268	0.01864175236369097	0.9608976446325844	0.011025299760994875			
results_GGMP_gai	logistic_prob_threshold	0.805	0.8108679672144415	0.006751102071003479	0.7081192298559207	0.015260465129149994	0.6402331182486474	0.019955349297237687	0.9815028161802356	0.008669871389747109	-0.055683732641851946	1.2903222636597353	-2.290084538967077
results_GGMP_gai	direct_gai_threshold	-2.3361846358986043	0.8101652265988506	0.006177917976299526	0.7081192298559207	0.015260465129149994	0.6379017110915399	0.017559657213221683	0.9824287421061616	0.008910890984605242			
