age_range	adjust_value
(18, 20)	2.4359848639653654
(20, 25)	2.0994319303704576
(25, 30)	1.563619852483795
(30, 35)	1.116644474137119
(35, 40)	0.6696338249576991
(45, 50)	-0.3807006028722441
(50, 55)	-0.6931359138927734
(55, 60)	-0.9329076280401888
(60, 65)	-1.1990059381091638
(65, 70)	-1.4124933584973525
(70, 75)	-1.7387089632477342
(75, 100)	-1.6787270585177032
